北太平洋高気圧(別名:小笠原高気圧)について正しいものはどれか。,日本の夏に影響を及ぼす高気圧である。,温暖な背の高い熱帯高気圧で、その中心はハワイ付近にあり夏の間中動かない。,高気圧圏内は風が強く、日射が強く、天気は良い。,春一番はこの高気圧による場合が多い。,,1,201807,航空気象,12,,
山岳波によってできる雲で誤りはどれか。,ローター雲,レンズ雲,キャップ雲,カナトコ雲,,4,201807,航空気象,13,,
低高度ウインドシアーの恐れがある状況で誤りはどれか。,霧やもやによる視程障害があるとき,風向や風速が短時間に変化しているとき,飛行場の地表面でちりや砂が吹き上げられているとき,対流雲が尾流雲(virga)を伴うとき,,1,201807,航空気象,14,,
雷雲に伴う気象現象について誤りはどれか。,雷雲の接近に伴い風向、風速の急変が起こる。(初期突風),ひょうが降る。,地霧の発生,初期突風としゅう雨の襲来によって気圧が急激に上昇する。,,3,201807,航空気象,15,,
霧(fog)について正しいものはどれか。,(1)定時飛行場実況気象通報式(METAR)ではFGで報じられる。,"視程障害現象の一つで、視程1,000m以下の場合をいう。",ごく小さな水蒸気が大気中に浮遊する現象である。,霧の中の相対湿度は一般に50%程度である。,,1,201807,航空気象,16,,
下記の定時飛行場実況気象通報式(METAR)の解読で誤りはどれか。,風向風速は磁方位080度から16ktである。,"卓越視程は3,200mである。",気温は17°Cである。,高度計規正値は29.69inHgである。,,1,201807,航空気象,17,RJFR 200300Z 08016KT 3200 RA FEW010 SCT020 BKN030 17/15 Q1005 RMK 1CU010 4CU020 6SC030 A2969,
運航用飛行場予報気象通報式(TAF)で使用される変化指示符BECMGについての説明で正しいものはどれか。,気象状態の一時的変化が頻繁に、または時々発生する場合に使用される。,変化した時間が1時間以上続き、再び変化前の気象状態に戻る場合に使用される。,重要な天気現象が終息すると予想される場合に使用される。,変化のはじまる時刻から終わる時刻内に規則的に、またはこの期間内のある時刻に不規則に変化し、その後は変化後の状態が続く場合に使われる。,,4,201807,航空気象,18,,
地上天気図において低気圧を示す記号で正しいものはどれか。, H, L,TD,T,,2,201807,航空気象,19,,
地上天気図に表される下図の前線の記号で正しいものはどれか。,温暖前線,寒冷前線,閉塞前線,停滞前線,,4,201807,航空気象,20,,TRUE
ガスト・ロックの説明で誤りはどれか。,停留中の航空機が突風にあおられて操縦翼面がばたつき、破損しないようにする。,安全のため、ガスト・ロック状態で飛行しても操縦できる。,人力操縦の小型機では操縦桿をロック・アッセンブリで固定する。,飛行中に誤操作が出来ないようにしてある。,,2,201807,構造,1,,
各種構造の説明で誤りはどれか。,トラス構造は、プラット・トラスとワーレン・トラスの2種類がある。,応力外皮構造は、外板にも荷重を分担するように作られた構造である。,サンドイッチ構造の芯材は、強く密度の高い形状に加工されたものが用いられる。,セミモノコック構造の構造外皮は、ねじれやせん断応力の大部分を受け持つ。,,3,201807,構造,2,,
材料の疲れ限度を上昇させる要素で誤りはどれか。,高周波焼入れ,浸炭処理,表面圧延,メッキ処理,,4,201807,構造,3,,
耐空性審査要領の定義で誤りはどれか。,「設計最大重量」とは、構造設計において滑走時の荷重を求めるために用いる最大航空機重量をいう。,「設計最小重量」とは、構造設計において飛行荷重を求めるために用いる最小航空機重量をいう。,「設計離陸重量」とは、構造設計において地上滑走及び小さい降下率での着陸に対する荷重を求めるために用いる最大航空機重量をいう。,「設計着陸重量」とは、構造設計において最大降下率での 着陸荷重を求めるために用いる最大航空機重量をいう。,,1,201807,構造,4,,
オートブレーキの解除で誤りはどれか。,スロットル・レバーを出力増加方向に動かしたとき,主翼にあるスピード・ブレーキを立ち上がらせているレバーを収納位置に戻したとき,ブレーキ・ペダルを踏んだとき,操縦桿を引いたとき,,4,201807,構造,5,,
高揚力装置の説明で誤りはどれか。,小型機では人力や電動を用い、機械的リンクで作動させるものもある。,クルーガ・フラップは、前縁フラップの一種である。,非対称状態になると危険なため、これを防ぐ工夫がなされている。,リーディング・エッジ・フラップは、単独で使用される。,,4,201807,構造,6,,
アルミニウム合金の一般的性質で誤りはどれか。,純アルミニウムは白色光沢のある金属である。,レシプロ・エンジンのシリンダやピストンに使用されるアルミニウム合金は、NiやSiを添加して耐熱性を向上させている。,大気中では極めて優れた耐食性を示す。,実用金属中最も軽い。,,4,201807,構造,7,,
ブレーキ及びブレーキ系統の説明で誤りはどれか。,地上滑走走行中の飛行機の速度を落とし停止する時、エンジン作動中の飛行機を停止させておく時、地上に停留させる時、地上で旋回する時等に使用される。,左右の主脚にある各ホイールに取り付けられており、ラダーペダルの上方にあるブレーキ・ペダルの操作で作動する。,左側のブレーキは左側のブレーキ・ペダル、右側のブレーキは、ペデスタルにあるブレーキ・レバーを併用することにより作動する。,マスタ・シリンダ・ブレーキ系統、動力ブレーキ操作系統、動力ブースト・ブレーキ系統がある。,,3,201807,構造,8,,
与圧された操縦室の風防でウインド・ヒータを使用する目的で誤りはどれか。,内側の曇り止め,外側の着氷防止,操縦室の暖房,衝撃吸収能力の増加,,3,201807,構造,9,,
前輪式着陸装置の利点で誤りはどれか。,高速でブレーキを強く働かせても前方にのめって機首が接地するノーズ・オーバを起こさない。,地上滑走や着陸の際、パイロットの視界が良い。,メイン・ギア(主脚)よりも重心が前にある為、飛行機が移動すると機首をまっすぐに保つ働きがあり、グラウンド・ループを起こしにくい。,地上滑走中にシミー現象が発生しない。,,4,201807,構造,10,,
有視界気象状態の条件で正しいものはどれか。,"3,000m以上の高度で飛行する場合の飛行視程は、5,000m以上であること。","3,000m未満の高度で管制区、管制圏又は情報圏を飛行する場合の飛行視程は、8,000m以上であること。","3,000m未満の高度で管制区、管制圏及び情報圏以外を飛行する場合の飛行視程は、1,500m以上であること。","管制圏又は情報圏内にある空港等において、離陸し、又は着陸しようとする場合の地上視程は、3,000m以上であること。",,3,201807,航空法規等,1,,
航空法第2条(定義)で定める「航空機」について誤りはどれか。,人が乗って航空の用に供することができる飛行機,人が乗って航空の用に供することができる回転翼航空機,人が乗って航空の用に供することができる飛行船,人が乗らないで航空の用に供することができる無人航空機,,4,201807,航空法規等,2,,
航空法第2条(定義)で誤りはどれか。,「進入表面」とは、着陸帯の長辺に接続し、且つ、水平面に対し上方へ50分の1以上で国土交通省令で定める勾配を有する平面であつて、その投影面が進入区域と一致するものをいう。,「航空交通情報圏」とは、航空交通管制圏が設定された空港等以外の国土交通大臣が告示で指定する空港等及びその付近の上空の空域であつて、空港等及びその上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制区」とは、地表又は水面から200m以上の高さの空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制圏」とは、航空機の離陸及び着陸が頻繁に実施される国土交通大臣 が告示で指定する空港等並びにその付近の上空の空域であつて、空港等及びその上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,,1,201807,航空法規等,3,,
耐空証明に関する記述で誤りはどれか。,耐空証明は、国籍にかかわらず、いかなる航空機も受けることができる。,耐空証明は、国籍にかかわらず、いかなる航空機も受けることができる。,航空機は、有効な耐空証明を受けているものでなければ、航空の用に供してはならない。但し、試験飛行等を行うため国土交通大臣の許可を受けた場合は、この限りでない。,耐空証明の有効期間は、1年とする。但し、航空運送事業の用に供する航空機については、国土交通大臣が定める期間とする。,,1,201807,航空法規等,4,,
航空機の登録に関する説明で誤りはどれか。,新規登録とは、登録を受けていない航空機の登録をいう。,航空機の所有者の氏名又は名称の変更があった場合には変更登録を行う。,航空機の所有者の住所の変更があった場合には変更登録を行う。,航空機の定置場を変更した場合には移転登録を行う。,,4,201807,航空法規等,5,,
特定操縦技能の審査等に関する説明で誤りはどれか。,特定操縦技能の審査とは、航空機の操縦に従事するのに必要な知識及び能力であってその維持について確認することが特に必要であるものを有しているかどうかについて操縦技能審査員が行う審査である。,この審査に合格していなければ、航空機に乗り組んで、その操縦に従事することはできない。,この審査に合格し操縦を行うことができる期間は、国土交通大臣が許可した場合を除き2年である。,この審査のうち実技審査は、模擬飛行装置又は飛行訓練装置を使用して行うことはできない。,,4,201807,航空法規等,6,,
操縦士に係る技能証明の限定に関する記述で正しいものはどれか。,操縦士の技能証明があれば、航空機の種類は問わず機長として操縦ができる。,技能証明の限定事項が多発機であれば、単発機の機長としても操縦ができる。,技能証明の限定事項が水上機であれば、陸上機の機長としても操縦ができる。,実地試験に使用される航空機によって、操縦できる航空機の種類、等級が限定される。,,4,201807,航空法規等,7,,
航空英語能力証明に関する説明で誤りはどれか。,本邦内の地点と本邦外の地点との間において航行を行う場合(国土交通大臣が航空英語能力証明を受けて行う必要がないと認めたものを除く。)、航空英語能力証明が必要である。,本邦内から出発して公海上を通過し、本邦内に到達する航行を行う場合、航空英語能力証明は必要ない。,航空英語能力証明が必要な航空機の種類は飛行機、回転翼航空機及び飛行船である。,航空英語能力証明レベル5と判定された場合、有効期間は6年である。,,3,201807,航空法規等,8,,
自家用操縦士の航空身体検査証明の有効期間について誤りはどれか。,交付日における年齢が25歳の場合、5年,交付日における年齢が45歳の場合、2年,交付日における年齢が55歳の場合、1年,交付日における年齢が65歳で、一人の操縦者でその操縦を行う場合、6月,,4,201807,航空法規等,9,,
航空法施行規則第5条の4(飛行規程)で定める記載事項について誤りはどれか。,航空機の構造,発動機の排出物に関する事項,航空機の性能,非常の場合に取らなければならない各種装置の操作その他の措置,,1,201807,航空法規等,10,,
航空法第70条(酒精飲料等)による、酒精飲料又は麻酔剤その他の薬品を服用した後の航空業務の制限で正しいものはどれか。,呼気中アルコール濃度0.15mg/l以上の間は航空業務を行ってはならない。,酒精飲料等を飲んだ直後であっても、歩行困難や言語不明瞭でなければ航空業務を行ってもよい。,正常な運航ができないおそれのある間は航空業務を行ってはならない。,酒精飲料等を飲んだ後、12時間は航空業務を行ってはならない。,,3,201807,航空法規等,11,,
航空機に装備する救急用具の点検期間で誤りはどれか。,非常信号灯、携帯灯及び防水携帯灯        : 60日,救命胴衣、これに相当する救急用具及び救命ボート : 180日,救急箱                     : 60日,航空機用救命無線機               : 24月,,4,201807,航空法規等,12,,
航空法第76条(報告の義務)に基づき、機長が国土交通省令で定めるところにより国土交通大臣にその旨を報告しなければならない内容で誤りはどれか。,航空機の墜落、衝突又は火災,航空機による人の死傷又は物件の損壊,航空機内に持ち込んだ動物の死,他の航空機との接触,,3,201807,航空法規等,13,,
航空法第71条の2(操縦者の見張り義務)で正しいものはどれか。,国土交通大臣の指示に従っている航行の場合は見張りの義務はない。,雲が多いところを飛行中は見張りの義務はない。,夜間飛行中は見張りの義務はない。,当該航空機外の物件を視認できない気象状態の下にある場合を除き、他の航空機その他の物件と衝突しないように見張りをしなければならない。,,4,201807,航空法規等,14,,
高度900m以下の航空交通管制圏をタービン発動機を装備する航空機で航行するときの速度の制限で正しいものはどれか。ただし国土交通大臣の許可を受けた場合を除く。,指示対気速度150kt,指示対気速度160kt,指示対気速度200kt,指示対気速度250kt,,3,201807,航空法規等,15,,
進路権に関する記述で誤りはどれか。,正面又はこれに近い角度で接近する飛行中の同順位の航空機相互間にあつては、互に進路を右に変えなければならない。,飛行中の同順位の航空機相互間にあつては、他の航空機を左側に見る航空機が進路を譲らなければならない。,前方に飛行中の航空機を他の航空機が追い越そうとする場合(上昇又は降下による追越を含む。)には、後者は、前者の右側を通過しなければならない。,進路権を有する航空機は、その進路及び速度を維持しなければならない。,,2,201807,航空法規等,16,,
空港等付近の航行方法において正しいものはどれか。,他の航空機に続いて離陸しようとする際、その航空機が離陸して滑走路中央付近を通過したため、離陸のための滑走を開始した。,他の航空機に続いて離陸しようとする際、その航空機が離陸して着陸帯の末端を通過したため、離陸のための滑走を開始した。,着陸する他の航空機に続いて離陸しようとする際、その航空機が着陸して滑走路の外に出る様子だったため、離陸のための滑走を開始した。,着陸する他の航空機に続いて離陸しようとする際、その航空機が着陸して滑走路末端まで移動し十分な間隔があったため、離陸のための滑走を開始した。,,2,201807,航空法規等,17,,
航空法施行規則第203条第1項に定める有視界飛行方式に係る飛行計画により明らかにしなければならない事項で正しいものはどれか。,出発地及び離陸予定時刻,使用する無線設備,巡航高度における予想対地速度,持久時間で表された消費燃料量,,2,201807,航空法規等,18,,
航空機が空港等内において地上を移動する場合の基準で誤りはどれか。,他の航空機の妨げにならないように、できる限り速い速度で移動すること。,前方を十分に監視すること。,動力装置を制御すること又は制動装置を軽度に使用することにより、速やかに且つ安全に停止することができる速度であること。,航空機その他の物件と衝突のおそれのある場合は、地上誘導員を配置すること。,,1,201807,航空法規等,19,,
航空法第75条で定める、機長が、航空機の航行中、その航空機に急迫した危難が生じた場合にとらなければならない措置で正しいものはどれか。,国土交通省令で定めるところにより、国土交通大臣にその旨を報告しなければならない。,最寄りの航空交通管制機関に連絡しなければならない。,国土交通大臣が航空交通の安全を考慮して与える指示に従って航行しなければならない。,旅客の救助及び地上又は水上の人又は物件に対する危難の防止に必要な手段を尽くさなければならない。,,4,201807,航空法規等,20,,
風力三角形において、図中1のベクトルを構成する要素として正しいものはどれか。,TRとGS,TRとTAS,THとGS,THとTAS,,1,201807,空中航法,1,,TRUE
緯度・経度について正しいものはどれか。,緯度1分は 1 nmである。,緯度1分は 10 nmである。,経度1度は 5 nmである。,,,1,201807,空中航法,2,,
大圏と小圏について正しいものはどれか。,大圏の弧は、ある2地点間の最短距離となる。,球をその中心を含む平面で切るときにできる円周を小圏という。,赤道に直交する小圏を子午線という。,赤道は小圏である。,,1,201807,空中航法,3,,
CH219°で飛行しているとき、MHの値で正しいものはどれか。偏差は7°W、自差は2°Eとする。,210°,214°,221°,231°,,3,201807,空中航法,4,,
次の換算値で誤りはどれか。,"1(海)マイルは約6,076 フィートである。",1キログラムは約2.2 ポンドである。,1(米)ガロンは約0.25 リットルである。,1キロメートルは約0.54(海)マイルである。,,3,201807,空中航法,5,,
次のうち最も少ないものはどれか。,燃料消費率が15 gal/h のときの45分間の燃料消費量,燃料消費率が27 gal/h のときの20分間の燃料消費量,燃料消費率が10 gal/h のときの50分間の燃料消費量,燃料消費率が18 gal/h のときの25分間の燃料消費量,,4,201807,空中航法,6,,
磁針路270度で飛行中、C駅が10時半の方角に見えた。このときの自機の位置として正しいものはどれか。,C駅の北西,C駅の西,C駅の北東,C駅の東,,3,201807,空中航法,7,,
偏差について正しいものはどれか。,同じ緯度ならどこでも同じ偏差である。,同じ経度ならどこでも同じ偏差である。,日本付近では偏差はおおよそ7°Eである。,偏差は経年により変化する場合がある。,,4,201807,空中航法,8,,
真航路035°をWCA-3°で飛行したところ、真航跡が030°となった。この時のDA(Drift Angle)で正しいものはどれか。,2°L,2°R,5°L,5°R,,1,201807,空中航法,9,,
次の記述について正しいものはどれか。,気圧が1ヘクトパスカル変化すると、気圧高度計の指示は約60フィート変化する。,気圧が0.1インチ変化すると、気圧高度計の指示は約1フィート変化する。,"高度が1,000フィート増すと、気圧高度計は2%の誤差を生じる。",気圧が0.01インチ変化すると、気圧高度計の指示は約10フィート変化する。,,4,201807,空中航法,10,,
航空図について誤りはどれか。,メルカトル航空図では、赤道と子午線以外の大圏は、赤道から遠ざかる曲線になる。,メルカトル航空図では、子午線が平行で航程線は直線である。,ランバート航空図では、大圏はほぼ直線で、最短距離に近いコースが得られる。,ランバート航空図では、航程線が極に引きつけられる曲線になる。,,4,201807,空中航法,11,,
計器高度と真高度に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。,誤 誤,誤 正,正 誤,正 正,,1,201807,空中航法,12,(a)QNHセッティング一定で巡航中に気温の高い空域に入ると真高度は低くなる。 (b)QNHセッティング一定で巡航中に気圧の低い空域に入ると真高度は高くなる。,
VORのラジアルの説明で正しいものはどれか。,VOR局への磁方位である。,VOR局からの磁方位である。,VOR局からの真方位である。,VOR局への真方位である。,,2,201807,空中航法,13,,
ある飛行場から出発するときに入手したQNH「29.72」に対し、誤って「29.92」 を気圧高度計にセットした。出発地の標高が250 ftのとき、気圧高度計の示す値に もっとも近いものはどれか。,50 ft,250 ft,450 ft,650 ft,,3,201807,空中航法,14,,
北半球における磁気羅針儀の動的誤差について誤りはどれか。,北の針路から東の方へ変針するときは、コンパスによる旋回角度は実際の旋回角度より過小指示するため、過大に旋回してしまう。,南の針路から西の方へ変針するときは、コンパスによる旋回角度は実際の旋回角度より過小指示するため、過大に旋回してしまう。,東の針路で増速(加速)すると北寄りの針路を指す。,西の針路で減速すると南寄りの針路を指す。,,2,201807,空中航法,15,,
空中衝突に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,3,201807,空中航法,16,(a)両機が直線飛行を行っており、相手機が衝突コース上にあるときは、相手機 が進路と速度を維持するかぎり自機の針路を変えるだけで衝突を回避する ことができる。(b)相手機が衝突コース上にあるときは、相手機を発見しやすい。,
空間識失調について誤りはどれか。,夜間や悪天候、また平坦で構造物のない場所を飛行する場合には、手掛かりが少なく漠然とした誤った視覚的情報により飛行するために陥る危険性が大きい。,夜間、悪天候さらに雲中など計器気象状態で正確な視覚手掛かりがない場合は、前庭器官からの情報が優勢となり誤った空間識情報が入りやすい。,疲労と空間識失調は関連性はない。,滑走路の幅、滑走路の周辺の地形、建物などの大きさは経験にもとづいて判断され、もし経験と全く違うような状況では、重大な錯覚を起こす。,,3,201807,空中航法,17,,
飛行中の一酸化炭素中毒に関する記述で誤りはどれか。,頭痛、眠気、めまいなどの症状が現れる。,一酸化炭素はごくわずかの量でも、ある時間吸うと血液中の窒素濃度を増大させ中毒症状を起こす。,一酸化炭素は無色、無味、無臭である。,発動機の排気ガス中には一酸化炭素が含まれている。,,2,201807,空中航法,18,,
視覚と明暗に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201807,空中航法,19,(a)暗闇では視覚は明るさに対して鋭敏となる。これを暗順応性という。 (b)暗順応を得るためには真暗闇の中では少なくとも30分を要する。,
ヒューマンファクターに関する記述について誤りはどれか。,ヒューマンファクターは、人間の業務遂行能力を最適化し、ヒューマンエラーを減少させることを目的とした総合的な学術領域のことである。,ヒューマンファクターの概念モデルは、構成要素の頭文字をとってSHELモデル と呼ばれている。モデルの中心は人間であり、最も柔軟性のない要素であるが、最も安定している。,人間が複雑なシステムの中で機能するとき、その能力には自ずと限界があり、エラーを避けることができない。,SHELモデルの各ブロックのインターフェイス部分においてミスマッチが起こりうる。そのミスマッチは、ヒューマンエラーの要因になりうるとされている。,,2,201807,空中航法,20,,
航空交通業務のうち、航空機に対して提供される飛行情報業務の内容で誤りはどれか。,管制業務,航法援助施設の運用状況,飛行場およびその附属施設の状況,交通情報、鳥群情報、バルーンに関する情報,,1,201903,航空通信,1,,
福岡FIR内での空域の説明で、誤りはどれか。,我が国が担当する福岡FIRの空域は、ICAOの標準に従ってクラスA、クラスB、クラスC、クラスD及びクラスEの5つの管制空域とクラスGの非管制空域に分類される。,クラスB空域は原則としてVFRのみの飛行方式に限定される。,クラスAからクラスEまでの空域をIFRで飛行する場合は、常時双方向の通信設定と管制許可が必要である。,クラスD空域は航空交通管制圏であり、SVFR機を除きVFR機の管制間隔は設定されない。,,2,201903,航空通信,2,,
飛行援助センター(FSC)に関する記述で誤りはどれか。,飛行場管制業務を行っている。,飛行場リモート対空援助業務を行っている。,広域対空援助業務を行う場合のコールサインは「インフォメーション」である。,飛行中の航空機からの位置通報、飛行計画の変更等の運航援助を行っている。,,1,201903,航空通信,3,,
飛行中にELTの発信音を受信した操縦者がATS機関に通報すべき内容で誤りはどれか。,遭難信号を最初に受信した地点,遭難信号を最初に受信した高度,遭難機のコールサイン,遭難信号が聞こえなくなった時刻,,3,201903,航空通信,4,,
捜索救難の発動基準「不確実の段階」について正しいものはどれか。,航空機がその予定時刻から30分(ジェット機にあっては15分)過ぎても目的地に到着しない場合,位置通報が予定時刻から15分過ぎてもない場合,当該航空機の搭載燃料が枯渇したかまたは安全に到着するには不十分であると認められる場合,飛行計画が通報されていない場合で、目的飛行場以外に着陸したとき,,1,201903,航空通信,5,,
航空機による遭難呼び出し及び遭難通信の最初の送信に原則として使用される周波数で誤りはどれか。,121.5 MHz,243.0 MHz,現在使用中の指定された周波数,122.6 MHz,,4,201903,航空通信,6,,
生存者の使用する対空目視信号の記号で「N」の意味するものはどれか。,援助を要する。,否定,医療援助を要する。,この方向に前進中,,2,201903,航空通信,7,,
航空情報用略語の意義で誤りはどれか。,WIP :即時有効,UFN :次に通報するまで,TEMPO :仮の、一時的な,UNA :できません,,1,201903,航空通信,8,,
有視界飛行方式において、飛行計画に記載する移動開始予定時刻について正しいものはどれか。,離陸予定時刻,離陸滑走開始予定時刻,ブロックアウト(ランプアウト)の予定時刻,発動機始動予定時刻,,3,201903,航空通信,9,,
航空情報の説明で正しいものはどれか。,航空路誌(AIP):福岡FIRにおける民間航空の運航に必要な諸施設、組織等に関する永続性をもつ情報を収録,ノータム :航空路誌改訂版または航空路誌補足版の情報のうち重要なもの,航空路誌改訂版 :AIPの一時的変更に係る情報(有効期間が3ヶ月以上のも の 等 ) を 掲載,航空路誌補足版 :AIPの永続的変更に係る情報を掲載,,1,201903,航空通信,10,,
管制機関から迅速な行動を要求される場合に使われる用語で誤りはどれか。,IMMEDIATE,IMMEDIATELY,EXPEDITE,FASTMOVE,,4,201903,航空通信,11,,
高度計規正方式について誤りはどれか。,離陸前にタワーから提供されたQNHの値をセットした。,宮崎空港の管制圏を通過するため宮崎空港のQNHをセットした。,瀬戸内海の海面上を飛行するのでQFEをセットした。,仙台空港の出発時においてQNHを入手できなかったので、仙台空港の標高にセットした。,,3,201903,航空通信,12,,
管制所の無線呼出符号(コールサイン)について誤りはどれか。,管制区管制所は官署の地名に「コントロール」が付けられる。,飛行場対空援助局のコールサインは「レディオ」が使われる。,リモート対空援助局のコールサインは「RAG」が使われる。,TCAアドバイザリー業務を担当する管制席のコールサインは「TCA」が使われる。,,3,201903,航空通信,13,,
試験通信において、受信の感明度を通報する場合の「困難だが聞き取れる」を意味する数字で正しいものはどれか。,2,3,4,5,,2,201903,航空通信,14,,
通信の一般用語「VERIFY」の意味で、正しいものはどれか。,そのとおりです。,(前の通報を)取り消します。,確認してください。,訂正します。,,3,201903,航空通信,15,,
通信要領の文字と数字の言い表し方で誤りはどれか。,"フライトレベルは、数値の前に""flight level""の語を付け数字を1字ずつ読む。",マック0.82は、mach decimal eight twoと送信する。,距離は、海里を使用し、1字ずつ読みmileの単位を付ける。,"旋回角は、普通読みで""degrees""を付ける。",,2,201903,航空通信,16,,
オプションアプローチについて誤りはどれか。,オプションアプローチの許可に「タッチアンドゴー」は含まれる。,オプションアプローチの許可に「ストップアンドゴー」は含まれる。,オプションアプローチの許可に「着陸」は含まれる。,オプションアプローチの許可に「ローアプローチ」は含まれない。,,4,201903,航空通信,17,,
管制圏内における特別有視界飛行方式について誤りはどれか。,"地上視程1,500m未満であっても、管制区管制所等の判断により特別有視界飛行方式の許可を発出することができる。",雲から離れて飛行しなければならない。,"飛行視程1,500m以上を維持して飛行しなければならない。",地表または水面を引き続き視認できる状態で飛行しなければならない。,,1,201903,航空通信,18,,
ATCトランスポンダーの操作の説明で誤りはどれか。,"VFRにより10,000フィート未満の高度で特に指示がない場合は1200にセットする。",通信機故障時は7600にセットする。,緊急状態に陥った場合は7700にセットする。,ハイジャックされた場合は7300にセットする。,,4,201903,航空通信,19,,
ロストポジション時の措置で誤りはどれか。,送受信機が作動している場合は、最寄りの管制機関の周波数又は121.5MHz/243.0MHzで呼びかけを行い、通信が設定されたら必要な援助を要請する。,通信機故障のうち、受信できない場合は、定められた左回りの三角飛行をする。,通信機故障のうち、受信はできるが応信が得られない場合は、定められた右回りの三角飛行をする。,三角飛行は少なくとも3回実施し、目的飛行場方向へ飛行する。,,4,201903,航空通信,20,,
対流圏における大気について正しいものはどれか。,対流圏内の上層は太陽に近いため下層より気温が高い。,対流圏内では高度が上がると気圧も上昇する(大きい値になる)。,対流圏内では高度が上がると空気密度も上昇する(大きい値になる)。,対流圏内に存在する水蒸気は雲や雨など天気に密接な関係がある。,,4,201903,航空気象,1,,
国際民間航空で採用している標準大気の気象諸元で誤りはどれか。,完全な乾燥気体である。,平均海面高度での気圧は1013.250hPaである。,平均海面高度での気温は15°Cである。,気温は、0~11km上空までは6.5°C/kmで上昇する。,,4,201903,航空気象,2,,
太陽から地球へのエネルギーの伝達方法で正しいものはどれか。,伝導,対流,放射,反射,,3,201903,航空気象,3,,
気温の日変化について正しいものはどれか。,正午に最高となり、日没の少し後に最低となる。,日変化が起こるのは、地球の自転の影響による。,最低気温と最高気温の差は、岩石や裸地の地面近くよりも水深の深い水面上の方が大きい。,高度が高いほど昼夜の気温差が大きい。,,2,201903,航空気象,4,,
水分は大気中で固体、液体、気体の3つの形態で存在する。この3つの形態について記述したもので正しいものはどれか。,雪は液体としての水分である。,霧は水蒸気としての水分である。,雲は液体としての水分として存在し、固体としての水分としても存在する。,気体としての水分は蒸発するときに目で見ることができる。,,3,201903,航空気象,5,,
露点温度について記述した以下の文中、(A)に入る適切な用語で正しいものはどれか。,露を結びはじめる,霜ができはじめる,氷の結晶ができはじめる,水蒸気量がゼロになる,,1,201903,航空気象,6,露点温度とは「一定気圧の空気の温度を下げたとき、その空気が飽和に達して(A) ときの温度である。」,
積乱雲について正しいものはどれか。,ハケで掃いたような雲である。,雲底はかなとこ状に広がっていることが多い。,ウロコ状の上層雲である。,略語はCbである。,,4,201903,航空気象,7,,
風は地球の表面に対する空気の動きであり、この空気を動かす力として正しいものはどれか。,地球自転による見かけ上の力(コリオリの力または偏向力),磁力,表面張力,水蒸気圧力,,1,201903,航空気象,8,,
偏西風について誤りはどれか。,亜熱帯から高緯度の温帯の上層で幅広く吹く西風である。,その風速は、高さ9~13kmの圏界面付近で最大になる。,南北に蛇行しながら吹いており、この現象を偏西風の波動という。,偏西風の尾根の前面にある地上低気圧は発達する。,,4,201903,航空気象,9,,
寒気団についての説明で誤りはどれか。,気団は下の方から冷却されて安定な成層になり対流現象はおさえられ、気流は滑らかである。,天気は、しゅう雨、雷雨、雹(ひょう)、霙(みぞれ)、にわか雨である。,安定度は不安定気温減率である。,雲形は積雲形で、積雲とか積乱雲である。,,1,201903,航空気象,10,,
前線のもつ一般的性質について誤りはどれか。,前線は気圧の低い谷の中に存在することが多い。,移動している前線は、前線を境にして気圧の変化傾向が違う。,前線を境にして気温差がある。,前線の速度は暖気内の風速とほぼ一致する。,,4,201903,航空気象,11,,
寒冷前線通過後の一般的な気象現象で誤りはどれか。,風向の変化,気圧の上昇,気温の急下降,天気の悪化,,4,201903,航空気象,12,,
温暖型移動性高気圧について誤りはどれか。,すぐ天気が悪くなる。,一般的に春・秋頃に多く現れる。,背が高い。,移動速度が遅い。,,1,201903,航空気象,13,,
ダウンバーストについて誤りはどれか。,積乱雲や局地的な雄大積雲の下で起こる下降気流が地表付近まで降下し、爆発的に発散して強い風の吹き出しを起こす破壊的な下降気流である。,ダウンバーストは、マクロバーストとマイクロバーストに分類される。,ダウンバーストは、極めて激しい現象の一つで、強風が直線または曲線状に吹き、必ず強雨を伴う。,水平規模は1km以下から数10kmまでさまざまである。,,3,201903,航空気象,14,,
煙霧(haze)について誤りはどれか。,定時飛行場実況気象通報式(METAR)ではHZで報じられる。,"視程障害現象の一つで、視程1,000m以下の場合をいう。",肉眼では見えないごく小さい乾いた粒子が、大気中に浮遊している現象である。,煙霧ともやを判別する場合、湿度75%未満の場合を煙霧と判定する。,,2,201903,航空気象,15,,
定時飛行場実況気象通報式(METAR)で通報される視程で正しいものはどれか。,平均視程,最大視程,飛行視程,卓越視程,,4,201903,航空気象,16,,
